类型,原文,建议,位置,置信度
traditional_character,開,开,(43, 44),1
traditional_character,國,国,(49, 50),1
traditional_character,據,据,(66, 67),1
traditional_character,網,网,(90, 91),1
traditional_character,萬,万,(99, 100),1
traditional_character,億,亿,(122, 123),1
not_general_standard_kanji,產,不在通用规范汉字表及其附录中,(135, 136),1
traditional_character,術,术,(160, 161),1
traditional_character,獻,献,(196, 197),1
traditional_character,術,术,(200, 201),1
traditional_character,認,认,(202, 203),1
not_general_standard_kanji,為,不在通用规范汉字表及其附录中,(203, 204),1
traditional_character,類,类,(206, 207),1
traditional_character,適,适,(207, 208),1
traditional_character,應,应,(208, 209),1
traditional_character,環,环,(209, 210),1
traditional_character,這,这,(215, 216),1
traditional_character,種,种,(216, 217),1
traditional_character,響,响,(224, 225),1
traditional_character,術,术,(235, 236),1
traditional_character,親,亲,(308, 309),1
traditional_character,進,进,(341, 342),1
traditional_character,壟,垄,(538, 539),1
traditional_character,斷,断,(539, 540),1
traditional_character,據,据,(541, 542),1
traditional_character,後,后,(573, 574),1
traditional_character,續,续,(583, 584),1
traditional_character,壟,垄,(587, 588),1
traditional_character,斷,断,(588, 589),1
traditional_character,後,后,(590, 591),1
traditional_character,們,们,(652, 653),1
traditional_character,評,评,(695, 696),1
traditional_character,與,与,(703, 704),1
traditional_character,認,认,(726, 727),1
traditional_character,線,缐(30線：可用于姓氏人名，但须类推简化作“缐”（参见本表序号7459）。),(738, 739),1
variant_character,線,线(30線：可用于姓氏人名，但须类推简化作“缐”（参见本表序号7459）。),(738, 739),1
traditional_character,萬,万,(796, 797),1
traditional_character,萬,万,(813, 814),1
traditional_character,萬,万,(842, 843),1
traditional_character,萬,万,(855, 856),1
traditional_character,進,进,(1038, 1039),1
traditional_character,終,终,(1046, 1047),1
traditional_character,則,则,(1108, 1109),1
traditional_character,結,结,(1115, 1116),1
traditional_character,論,论,(1116, 1117),1
traditional_character,這,这,(1118, 1119),1
traditional_character,種,种,(1119, 1120),1
traditional_character,謹,谨,(1120, 1121),1
traditional_character,態,态,(1122, 1123),1
traditional_character,營,营,(1251, 1252),1
traditional_character,億,亿,(1259, 1260),1
traditional_character,長,长,(1265, 1266),1
traditional_character,億,亿,(1294, 1295),1
traditional_character,億,亿,(1321, 1322),1
traditional_character,業,业,(1359, 1360),1
not_general_standard_kanji,內,不在通用规范汉字表及其附录中,(1360, 1361),1
traditional_character,資,资,(1436, 1437),1
traditional_character,壟,垄,(1517, 1518),1
traditional_character,斷,断,(1518, 1519),1
traditional_character,預,预,(1527, 1528),1
traditional_character,圖,图,(1691, 1692),1
traditional_character,負,负,(1737, 1738),1
traditional_character,責,责,(1763, 1764),1
traditional_character,開,开,(1786, 1787),1
